Rank,Name,Symbol,country,sector,previousClose,marketCap,trailingPE,forwardPE,priceToBook,profitMargins,enterpriseToRevenue,enterpriseToEbitda,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,bookValue,beta,fiveYearAvgDividendYield,payoutRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,Index,Continent,maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup
368,Barclays,BCS,United Kingdom,Financial Services,15.17,55982149632,8.625,14.457144,3.6587129,0.26007998,0.553,N/A,24249999360,6.576,0.129,0,0,0.25592,0.00424,0.088070005,N/A,N/A,N/A,866026979328,660182007808,4.149,1.29,2.97,0.2019,0.0055372445,0.084,Other,Other,,,,,,,,,,,
369,The Saudi National Bank,1180.SR,Saudi Arabia,Financial Services,35.75,55923266335,10.597667,10.041436,1.2609706,0.60527,11.293,N/A,35014303744,5.89,0.094,0,0,0.71584,0.0197,0.11405,N/A,N/A,N/A,34892615680,217068765184,28.827,0.382,3.72,0.5248,0.053146854,1.9,Other,Other,,,,,,,,,,,
370,Freeport-McMoRan,FCX,United States,Basic Materials,38.96,55427788800,28.446154,17.120369,3.0224764,0.07421,2.756,7.357,25454999552,17.702,-0.031,0.39548,0.37462002,0.21346001,0.080819994,0.15686,33.838,2.419,0.922,3923000064,9738000384,12.235,1.848,3.73,0.46150002,0.015400412,0.6,S&P 500,North America,86400,28.1,17.09,6.8,4.22,2025,2,4,121,AVG_PERF,Diversified Metals
371,Cloudflare,NET,United States,Technology,156.38,55380262912,N/A,176.69768,50.085697,-0.047199998,31.172,-1444.206,1669625984,4.89,0.269,0.77318,-0.02158,-0.07396,-0.02868,-0.087110005,139.86,2.859,2.758,1855918976,1463213056,3.034,1.121,N/A,0,0,0,S&P 500,North America,86400,23.92,5.45,10.04,8.43,2025,2,2,603,AVG_PERF,Software & Services
372,ANZ Bank,ANZ.AX,Australia,Financial Services,28.79,55296041715,13.744185,12.628205,1.2580357,0.32446,4.748,N/A,20141000704,6.717,-0.013,0,0,0.45661998,0.00563,0.093430005,N/A,N/A,N/A,251091992576,260341006336,23.489,0.821,5.51,0.8229,0.057658907,1.66,Other,Other,86400,20.73,1.44,10.21,9.08,2025,2,3,454,AVG_PERF,Banks
373,American Electric Power,AEP,United States,Utilities,104.35,54968721408,18.876345,17.882853,2.0832675,0.15045,5.16,13.006,19721299968,37.203,0.026,0.47320998,0.39671,0.26299,0.02861,0.113859996,170.451,0.445,0.237,418300000,45997998080,50.56,0.565,3.56,0.6398,0.03421179,3.57,S&P 500,North America,86400,21.95,10.43,7.61,3.9,2025,2,2,234,AVG_PERF,Utilities
374,The Travelers Companies,TRV,United States,Financial Services,241.24,54947291136,11.184996,11.295529,1.9520029,0.10767999,1.234,7.858,46422999040,203.61,0.099,0.26692,0.15697,0.22418,0.0317,0.18941,29.816,0.322,0.187,5464999936,8307999744,122.966,0.655,2.21,0.1933,0.017202785,4.15,S&P 500,North America,86400,20.41,0.78,10.4,9.23,2025,2,1,180,AVG_PERF,Insurance
375,Universal Music Group,UMG.AS,Netherlands,Communication Services,28.02,54697885764,33.903614,27.588236,15.007999,0.13477,4.739,30.531,11486000128,6.301,0.073,0.43322,0.15523,0.15653,0.076630004,0.51542,103.774,0.585,0.391,457000000,3601999872,1.875,0.836,N/A,0.6145,0.018201284,0.51,Eurostoxx,Europe,86400,9.97,0.23,5.57,4.17,2025,2,1,140,LAG_PERF,Media
376,Dassault Syst�mes,DSY.PA,France,Technology,39.72,54668872075,44.044445,29.147058,5.739105,0.19316,8.159,26.19,6213600256,4.731,0.067,0.83643997,0.31153,0.27317,0.05696,0.14156,27.46,1.865,1.733,3952600064,2493600000,6.907,0.62,0.46,0.2556,0,0,Eurostoxx,Europe,86400,14.23,2.64,7.06,4.53,2025,2,0,603,LAG_PERF,Software & Services
377,MPLX,MPLX,United States,Energy,53.84,54643408896,12.679335,12.104309,4.0162516,0.38784,6.727,12.989,11130999808,10.956,0.031,0.56841,0.51789004,0.40526,N/A,0.31611001,161.479,N/A,N/A,2425999872,22577999872,13.291,1.393,9.99,0.8329,0.06710624,3.613,S&P 500,North America,86400,34.24,,,,2025,2,3,85,LEAD_PERF,Refiners & Pipelines
